Industrial	Construcción	Comercio	Servicios
76	240	301	319
202	1	51	273
454	258	158	116
1165	490	29	727
320	531	29	358
31	1550	126	206
106	745	406	169
847	262	2292	146
621	748	107	621
864	16	98	163
58	579	270	378
823	45	404	102
1422	1724	422	137
160	80	703	49
1290	154	916	828
892	886	767	717
174	1812	791	1200
1548	181	77	1064
262	607	615	999
668	379	607	97
830	388	121	185
749	794	322	65
43	67	374	390
180	6	751	554
1123	771	183	439
137	960	1060	993
586	11	291	682
326	785	25	45
472	80	147	24
252	1185	811	140
143	247	655	1956
109	445	168	323
1422	315	402	101
752	425	390	286
241	560	272	330
765	251	643	835
154	249	794	54
44	214	658	26
179	1523	186	552
65	1846	1158	503
366	822	274	257
671	193	798	389
141	239	196	255
83	30	207	3190
1835	764	448	672
1523	138	365	362
563	58	264	868
2	1006	219	61
61	139	380	458
1745	1154	45	617
1174	12	148	1584
490	176	193	351
460	1161	82	1179
325	835	1317	327
19	96	173	372
1772	180	7	69
289	372	163	357
2429	547	511	368
926	100	552	3
125	948	20	685
149	401	396	
388	147	185	
404	404	79	
82	638	1370	
436	884	1920	
11	738	188	
108	364	7	
373	95	966	
816	1477	649	
54	953	630	
	320	148	
	840	922	
	1653	93	
	294	21	
	245	382	
	272	72	
	143	364	
	798	263	
	376	1180	
	26	304	
	284		
	1497		
	134		
	361		
	332		
	576		
	20		
	1702		
	1949		
	141		
